Variavel,Categoria,Geo,Geo_Desc,Ano,Valor,Var_Num,Cat_Num,DescLocal,YCoord,XCoord
Idade,20-24,FR,France,2024,25.5,3,3,Fim,979,25.5
Idade,20-24,HR,Croatia,2024,11.2,3,3,Inicio,977,21.7
Idade,20-24,HR,Croatia,2024,11.2,3,3,Fim,979,11.2
Idade,20-24,HU,Hungary,2024,19.7,3,3,Inicio,977,20.2
Idade,20-24,HU,Hungary,2024,19.7,3,3,Fim,979,19.7
Idade,20-24,IE,Ireland,2024,12.1,3,3,Inicio,977,17.1
Idade,20-24,IE,Ireland,2024,12.1,3,3,Fim,979,12.1
Idade,20-24,IT,Italy,2024,25,3,3,Inicio,977,23.1
Idade,20-24,IT,Italy,2024,25,3,3,Fim,979,25
Idade,20-24,LT,Lithuania,2024,29,3,3,Inicio,977,25.8
Idade,20-24,LT,Lithuania,2024,29,3,3,Fim,979,29
Idade,20-24,LU,Luxembourg,2024,33.2,3,3,Inicio,977,20
Idade,20-24,LU,Luxembourg,2024,33.2,3,3,Fim,979,33.2
Idade,20-24,LV,Latvia,2024,17.5,3,3,Inicio,977,24.3
Idade,20-24,LV,Latvia,2024,17.5,3,3,Fim,979,17.5
Idade,20-24,MT,Malta,2024,15.5,3,3,Inicio,977,19.7
Idade,20-24,MT,Malta,2024,15.5,3,3,Fim,979,15.5
Idade,20-24,NL,Netherlands,2024,29.7,3,3,Inicio,977,15.4
Idade,20-24,NL,Netherlands,2024,29.7,3,3,Fim,979,29.7
Idade,20-24,NO,Norway,2024,44.4,3,3,Inicio,977,15.7
Idade,20-24,NO,Norway,2024,44.4,3,3,Fim,979,44.4
Idade,20-24,PL,Poland,2024,20,3,3,Inicio,977,16
Idade,20-24,PL,Poland,2024,20,3,3,Fim,979,20
Idade,20-24,PT,Portugal,2024,18.4,3,3,Inicio,977,19.7
Idade,20-24,PT,Portugal,2024,18.4,3,3,Fim,979,18.4
Idade,20-24,RO,Romania,2024,29,3,3,Inicio,977,27.9
Idade,20-24,RO,Romania,2024,29,3,3,Fim,979,29
Idade,20-24,RS,Serbia,2024,17.6,3,3,Inicio,977,24.3
Idade,20-24,RS,Serbia,2024,17.6,3,3,Fim,979,17.6
Idade,20-24,SE,Sweden,2024,26.4,3,3,Inicio,977,17.5
Idade,20-24,SE,Sweden,2024,26.4,3,3,Fim,979,26.4
Idade,20-24,SI,Slovenia,2024,8.4,3,3,Inicio,977,14.4
Idade,20-24,SI,Slovenia,2024,8.4,3,3,Fim,979,8.4
Idade,20-24,SK,Slovakia,2024,21.2,3,3,Inicio,977,18.3
Idade,20-24,SK,Slovakia,2024,21.2,3,3,Fim,979,21.2
Idade,20-24,TR,Türkiye,2024,28.3,3,3,Inicio,977,30.4
Idade,20-24,TR,Türkiye,2024,28.3,3,3,Fim,979,28.3
Idade,25-54,AT,Austria,2024,15.6,3,4,Inicio,974,16.9
Idade,25-54,AT,Austria,2024,15.6,3,4,Fim,976,15.6
Idade,25-54,BE,Belgium,2024,17.1,3,4,Inicio,974,18.2
Idade,25-54,BE,Belgium,2024,17.1,3,4,Fim,976,17.1
Idade,25-54,BG,Bulgaria,2024,25.9,3,4,Inicio,974,30.3
Idade,25-54,BG,Bulgaria,2024,25.9,3,4,Fim,976,25.9
Idade,25-54,CY,Cyprus,2024,13.9,3,4,Inicio,974,17.1
Idade,25-54,CY,Cyprus,2024,13.9,3,4,Fim,976,13.9
Idade,25-54,CZ,Czechia,2024,9.4,3,4,Inicio,974,11.3
Idade,25-54,CZ,Czechia,2024,9.4,3,4,Fim,976,9.4
Idade,25-54,DE,Germany,2024,18.8,3,4,Inicio,974,21.1
Idade,25-54,DE,Germany,2024,18.8,3,4,Fim,976,18.8
Idade,25-54,DK,Denmark,2024,18.8,3,4,Inicio,974,18
Idade,25-54,DK,Denmark,2024,18.8,3,4,Fim,976,18.8
Idade,25-54,EE,Estonia,2024,17.1,3,4,Inicio,974,22.2
Idade,25-54,EE,Estonia,2024,17.1,3,4,Fim,976,17.1
Idade,25-54,EL,Greece,2024,25.8,3,4,Inicio,974,26.9
Idade,25-54,EL,Greece,2024,25.8,3,4,Fim,976,25.8
Idade,25-54,ES,Spain,2024,25.4,3,4,Inicio,974,25.8
Idade,25-54,ES,Spain,2024,25.4,3,4,Fim,976,25.4
Idade,25-54,FI,Finland,2024,15.4,3,4,Inicio,974,16.8
Idade,25-54,FI,Finland,2024,15.4,3,4,Fim,976,15.4
Idade,25-54,FR,France,2024,19,3,4,Inicio,974,20.5
Idade,25-54,FR,France,2024,19,3,4,Fim,976,19
Idade,25-54,HR,Croatia,2024,14.9,3,4,Inicio,974,21.7
Idade,25-54,HR,Croatia,2024,14.9,3,4,Fim,976,14.9
Idade,25-54,HU,Hungary,2024,14.9,3,4,Inicio,974,20.2
Idade,25-54,HU,Hungary,2024,14.9,3,4,Fim,976,14.9
Idade,25-54,IE,Ireland,2024,14.1,3,4,Inicio,974,17.1
Idade,25-54,IE,Ireland,2024,14.1,3,4,Fim,976,14.1
Idade,25-54,IT,Italy,2024,23,3,4,Inicio,974,23.1
Idade,25-54,IT,Italy,2024,23,3,4,Fim,976,23
Idade,25-54,LT,Lithuania,2024,19,3,4,Inicio,974,25.8
Idade,25-54,LT,Lithuania,2024,19,3,4,Fim,976,19
Idade,25-54,LU,Luxembourg,2024,19.1,3,4,Inicio,974,20
Idade,25-54,LU,Luxembourg,2024,19.1,3,4,Fim,976,19.1
Idade,25-54,LV,Latvia,2024,17.6,3,4,Inicio,974,24.3
Idade,25-54,LV,Latvia,2024,17.6,3,4,Fim,976,17.6
Idade,25-54,MT,Malta,2024,14.4,3,4,Inicio,974,19.7
Idade,25-54,MT,Malta,2024,14.4,3,4,Fim,976,14.4
Idade,25-54,NL,Netherlands,2024,13.2,3,4,Inicio,974,15.4
Idade,25-54,NL,Netherlands,2024,13.2,3,4,Fim,976,13.2
