Data,COICOP,Valor
2019-04-15,Serviços Postais,119.2
2019-05-15,Total,104.87
2019-05-15,Serviços Postais,119.2
2019-06-15,Total,105.27
2019-06-15,Serviços Postais,116.04
2019-07-15,Total,103.46
2019-07-15,Serviços Postais,116.04
2019-08-15,Total,103.34
2019-08-15,Serviços Postais,116.04
2019-09-15,Total,104.76
2019-09-15,Serviços Postais,114.4
2019-10-15,Total,104.39
2019-10-15,Serviços Postais,117.56
2019-11-15,Total,103.66
2019-11-15,Serviços Postais,117.56
2019-12-15,Total,103.4
2019-12-15,Serviços Postais,119.2
2020-01-15,Total,102.57
2020-01-15,Serviços Postais,119.2
2020-02-15,Total,101.99
2020-02-15,Serviços Postais,119.2
2020-03-15,Total,103.67
2020-03-15,Serviços Postais,119.2
2020-04-15,Total,104.46
2020-04-15,Serviços Postais,119.2
2020-05-15,Total,104.2
2020-05-15,Serviços Postais,119.2
2020-06-15,Total,105.5
2020-06-15,Serviços Postais,120.83
2020-07-15,Total,103.38
2020-07-15,Serviços Postais,120.83
2020-08-15,Total,103.12
2020-08-15,Serviços Postais,120.83
2020-09-15,Total,103.92
2020-09-15,Serviços Postais,120.83
2020-10-15,Total,103.8
2020-10-15,Serviços Postais,120.83
2020-11-15,Total,103.24
2020-11-15,Serviços Postais,109.66
2020-12-15,Total,103.1
2020-12-15,Serviços Postais,120.83
2021-01-15,Total,102.76
2021-01-15,Serviços Postais,120.83
2021-02-15,Total,102.27
2021-02-15,Serviços Postais,120.83
2021-03-15,Total,103.8
2021-03-15,Serviços Postais,120.83
2021-04-15,Total,104.36
2021-04-15,Serviços Postais,123.51
2021-05-15,Total,104.7
2021-05-15,Serviços Postais,123.51
2021-06-15,Total,104.91
2021-06-15,Serviços Postais,123.51
2021-07-15,Total,104.53
2021-07-15,Serviços Postais,123.51
2021-08-15,Total,104.41
2021-08-15,Serviços Postais,123.51
2021-09-15,Total,105.29
2021-09-15,Serviços Postais,123.51
2021-10-15,Total,105.69
2021-10-15,Serviços Postais,123.51
2021-11-15,Total,105.96
2021-11-15,Serviços Postais,123.51
2021-12-15,Total,105.97
2021-12-15,Serviços Postais,123.51
2022-01-15,Total,106.25
2022-01-15,Serviços Postais,123.51
2022-02-15,Total,106.74
2022-02-15,Serviços Postais,123.51
2022-03-15,Total,109.49
2022-03-15,Serviços Postais,130.43
2022-04-15,Total,112.07
2022-04-15,Serviços Postais,130.43
2022-05-15,Total,113.17
2022-05-15,Serviços Postais,130.43
2022-06-15,Total,114.37
2022-06-15,Serviços Postais,130.43
2022-07-15,Total,114.39
2022-07-15,Serviços Postais,130.43
2022-08-15,Total,114.17
2022-08-15,Serviços Postais,130.43
2022-09-15,Total,115.62
2022-09-15,Serviços Postais,130.43
2022-10-15,Total,116.86
2022-10-15,Serviços Postais,130.43
2022-11-15,Total,116.82
2022-11-15,Serviços Postais,130.43
2022-12-15,Total,116.36
2022-12-15,Serviços Postais,130.43
2023-01-15,Total,115.44
2023-01-15,Serviços Postais,130.43
2023-02-15,Total,115.89
2023-02-15,Serviços Postais,130.43
2023-03-15,Total,118.22
2023-03-15,Serviços Postais,140.02
2023-04-15,Total,119.75
2023-04-15,Serviços Postais,140.02
2023-05-15,Total,119.27
2023-05-15,Serviços Postais,140.02
2023-06-15,Total,119.79
2023-06-15,Serviços Postais,140.02
2023-07-15,Total,119.33
2023-07-15,Serviços Postais,140.02
2023-08-15,Total,120.24
2023-08-15,Serviços Postais,140.02
2023-09-15,Total,121.18
2023-09-15,Serviços Postais,140.02
2023-10-15,Total,120.65
2023-10-15,Serviços Postais,140.02
2023-11-15,Total,119.39
2023-11-15,Serviços Postais,140.02
2023-12-15,Total,118.56
2023-12-15,Serviços Postais,140.02
2024-01-15,Total,118.36
2024-01-15,Serviços Postais,140.02
2024-02-15,Total,118.54
2024-02-15,Serviços Postais,151.79
2024-03-15,Total,121.26
2024-03-15,Serviços Postais,151.79
2024-04-15,Total,122.55
2024-04-15,Serviços Postais,151.79
2024-05-15,Total,123.83
2024-05-15,Serviços Postais,151.79
2024-06-15,Total,123.46
2024-06-15,Serviços Postais,151.79
