Ano,Mes,Origem,Dormidas
2015,6,Não Residente,3716949
2015,7,Não Residente,4354905
2015,8,Não Residente,4769205
2015,9,Não Residente,4161126
2015,10,Não Residente,3563596
2015,11,Não Residente,1801523
2015,12,Não Residente,1434898
2016,1,Não Residente,1460237
2016,2,Não Residente,1827828
2016,3,Não Residente,2682982
2016,4,Não Residente,3111209
2016,5,Não Residente,4004683
2016,6,Não Residente,4084027
2016,7,Não Residente,4766063
2016,8,Não Residente,5148641
2016,9,Não Residente,4484177
2016,10,Não Residente,4007148
2016,11,Não Residente,2130852
2016,12,Não Residente,1618606
2017,1,Não Residente,1726890
2017,2,Não Residente,2001413
2017,3,Não Residente,2767756
2017,4,Não Residente,3854113
2017,5,Não Residente,4325134
2017,6,Não Residente,4523040
2017,7,Não Residente,5029691
2017,8,Não Residente,5409965
2017,9,Não Residente,4811980
2017,10,Não Residente,4308990
2017,11,Não Residente,2332207
2017,12,Não Residente,1761518
2018,1,Não Residente,1755425
2018,2,Não Residente,2052313
2018,3,Não Residente,2949566
2018,4,Não Residente,3505504
2018,5,Não Residente,4262438
2018,6,Não Residente,4239466
2018,7,Não Residente,4782714
2018,8,Não Residente,5132862
2018,9,Não Residente,4548328
2018,10,Não Residente,4138294
2018,11,Não Residente,2354457
2018,12,Não Residente,1795958
2019,1,Não Residente,1806170
2019,2,Não Residente,2038464
2019,3,Não Residente,2850942
2019,4,Não Residente,3706602
2019,5,Não Residente,4257167
2019,6,Não Residente,4278330
2019,7,Não Residente,4823818
2019,8,Não Residente,5151724
2019,9,Não Residente,4600056
2019,10,Não Residente,4199590
2019,11,Não Residente,2401968
2019,12,Não Residente,1928359
2020,1,Não Residente,1916393
2020,2,Não Residente,2216186
2020,3,Não Residente,1161103
2020,4,Não Residente,25018
2020,5,Não Residente,34350
2020,6,Não Residente,108091
2020,7,Não Residente,683235
2020,8,Não Residente,1349413
2020,9,Não Residente,1257808
2020,10,Não Residente,946248
2020,11,Não Residente,321197
2020,12,Não Residente,305514
2021,1,Não Residente,215547
2021,2,Não Residente,98700
