GridNo,Lat,Long,Alt,NUTS3_ID,NUTS3_Desc,NUTS2_ID,NUTS2_Desc,NUTS1_ID,NUTS1_Desc,Country_ID,Country_Desc,RiverBank
71050,42.44499,-8.17233,413,ES113,Ourense,ES11,Galicia,ES1,Noroeste (ES),ES,Spain,North of Tagus
71051,42.49871,-7.8757,453,ES113,Ourense,ES11,Galicia,ES1,Noroeste (ES),ES,Spain,North of Tagus
71052,42.55155,-7.57861,346,ES112,Lugo,ES11,Galicia,ES1,Noroeste (ES),ES,Spain,North of Tagus
71053,42.60353,-7.28106,566,ES112,Lugo,ES11,Galicia,ES1,Noroeste (ES),ES,Spain,North of Tagus
71054,42.65463,-6.98306,882,ES413,León,ES41,Castilla y León,ES4,Centro (ES),ES,Spain,North of Tagus
71055,42.70486,-6.68461,658,ES413,León,ES41,Castilla y León,ES4,Centro (ES),ES,Spain,North of Tagus
71056,42.75421,-6.38572,908,ES413,León,ES41,Castilla y León,ES4,Centro (ES),ES,Spain,North of Tagus
71057,42.80269,-6.0864,1209,ES413,León,ES41,Castilla y León,ES4,Centro (ES),ES,Spain,North of Tagus
71058,42.85028,-5.78665,1132,ES413,León,ES41,Castilla y León,ES4,Centro (ES),ES,Spain,North of Tagus
71059,42.89699,-5.48648,1152,ES413,León,ES41,Castilla y León,ES4,Centro (ES),ES,Spain,North of Tagus
71060,42.94281,-5.18589,1183,ES413,León,ES41,Castilla y León,ES4,Centro (ES),ES,Spain,North of Tagus
71061,42.98775,-4.88489,1294,ES413,León,ES41,Castilla y León,ES4,Centro (ES),ES,Spain,North of Tagus
71062,43.0318,-4.58349,1061,ES130,Cantabria,ES13,Cantabria,ES1,Noroeste (ES),ES,Spain,North of Tagus
71063,43.07496,-4.2817,872,ES130,Cantabria,ES13,Cantabria,ES1,Noroeste (ES),ES,Spain,North of Tagus
71064,43.11723,-3.97952,473,ES130,Cantabria,ES13,Cantabria,ES1,Noroeste (ES),ES,Spain,North of Tagus
71065,43.1586,-3.67696,612,ES130,Cantabria,ES13,Cantabria,ES1,Noroeste (ES),ES,Spain,North of Tagus
71066,43.19908,-3.37402,314,ES213,Bizkaia,ES21,País Vasco,ES2,Noreste (ES),ES,Spain,North of Tagus
71067,43.23704,-3.07124,112,ES213,Bizkaia,ES21,País Vasco,ES2,Noreste (ES),ES,Spain,North of Tagus
71068,43.27734,-2.76706,75,ES213,Bizkaia,ES21,País Vasco,ES2,Noreste (ES),ES,Spain,North of Tagus
71069,43.28006,-2.48425,138,ES213,Bizkaia,ES21,País Vasco,ES2,Noreste (ES),ES,Spain,North of Tagus
71070,43.27218,-2.14827,46,ES212,Gipuzkoa,ES21,País Vasco,ES2,Noreste (ES),ES,Spain,North of Tagus
71071,43.32186,-1.82919,34,ES212,Gipuzkoa,ES21,País Vasco,ES2,Noreste (ES),ES,Spain,North of Tagus
72047,42.57287,-9.02953,21,ES111,A Coruña,ES11,Galicia,ES1,Noroeste (ES),ES,Spain,North of Tagus
72048,42.55686,-8.80033,31,ES114,Pontevedra,ES11,Galicia,ES1,Noroeste (ES),ES,Spain,North of Tagus
72049,42.60847,-8.53764,176,ES114,Pontevedra,ES11,Galicia,ES1,Noroeste (ES),ES,Spain,North of Tagus
72050,42.66329,-8.24049,440,ES114,Pontevedra,ES11,Galicia,ES1,Noroeste (ES),ES,Spain,North of Tagus
72051,42.71723,-7.94287,531,ES114,Pontevedra,ES11,Galicia,ES1,Noroeste (ES),ES,Spain,North of Tagus
72052,42.7703,-7.64477,447,ES112,Lugo,ES11,Galicia,ES1,Noroeste (ES),ES,Spain,North of Tagus
72053,42.8225,-7.34621,463,ES112,Lugo,ES11,Galicia,ES1,Noroeste (ES),ES,Spain,North of Tagus
72054,42.87382,-7.04718,599,ES112,Lugo,ES11,Galicia,ES1,Noroeste (ES),ES,Spain,North of Tagus
72055,42.92427,-6.74771,918,ES120,Asturias,ES12,Principado de Asturias,ES1,Noroeste (ES),ES,Spain,North of Tagus
72056,42.97383,-6.44778,1124,ES413,León,ES41,Castilla y León,ES4,Centro (ES),ES,Spain,North of Tagus
72057,43.02251,-6.14742,1248,ES413,León,ES41,Castilla y León,ES4,Centro (ES),ES,Spain,North of Tagus
72058,43.07031,-5.84662,816,ES120,Asturias,ES12,Principado de Asturias,ES1,Noroeste (ES),ES,Spain,North of Tagus
72059,43.11723,-5.54539,774,ES120,Asturias,ES12,Principado de Asturias,ES1,Noroeste (ES),ES,Spain,North of Tagus
72060,43.16325,-5.24375,809,ES120,Asturias,ES12,Principado de Asturias,ES1,Noroeste (ES),ES,Spain,North of Tagus
72061,43.20838,-4.94168,823,ES413,León,ES41,Castilla y León,ES4,Centro (ES),ES,Spain,North of Tagus
72062,43.25263,-4.63921,376,ES130,Cantabria,ES13,Cantabria,ES1,Noroeste (ES),ES,Spain,North of Tagus
72063,43.28945,-4.33923,131,ES130,Cantabria,ES13,Cantabria,ES1,Noroeste (ES),ES,Spain,North of Tagus
72064,43.33148,-4.02776,66,ES130,Cantabria,ES13,Cantabria,ES1,Noroeste (ES),ES,Spain,North of Tagus
